## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Rhizobium phage vB_RglS_P106B	NC_023566	-	-	56024 nt	95	-	bacteria	03/04/2014	04/22/2015	
Rhizobium phage vB_RleM_P10VF	NC_025429	-	-	156446 nt	257	-	bacteria	11/10/2014	11/10/2014	
Rhizobium phage vB_RleM_PPF1	NC_025427	-	-	54506 nt	94	-	bacteria	11/10/2014	05/31/2016	
Rhizobium phage vB_RleS_L338C	NC_023502	-	-	109558 nt	181	-	bacteria	02/27/2014	02/27/2014	
Rhodobacter phage RC1	NC_020839	strain:RC1	-	39573 nt	56	-	bacteria	03/30/2013	03/30/2013	
Rhodobacter phage RcRhea	NC_028954	-	-	36065 nt	45	2	bacteria	01/05/2016	06/10/2016	
Rhodobacter phage RcTitan	NC_029097	-	-	44496 nt	61	-	bacteria	02/05/2016	06/10/2016	
Rhodobacter phage RcapMu	NC_016165	-	-	39283 nt	58	-	bacteria	11/10/2011	11/10/2011	
Rhodobacter phage RcapNL	NC_020489	-	-	40489 nt	64	-	bacteria	03/14/2013	03/14/2013	
Rhodococcus phage CosmicSans	NC_028677	-	-	46596 nt	66	3	bacteria	12/17/2015	12/17/2015	
Rhodococcus phage E3	NC_021347	-	-	142563 nt	220	-	bacteria	06/03/2013	07/14/2013	
Rhodococcus phage REQ1	NC_016655	-	-	51342 nt	85	-	bacteria	01/17/2012	06/06/2013	
Rhodococcus phage REQ2	NC_016652	-	-	49330 nt	82	-	bacteria	01/17/2012	01/17/2012	
Rhodococcus phage REQ3	NC_016654	-	-	39474 nt	60	-	bacteria	01/17/2012	01/17/2012	
Rhodococcus phage RER2	NC_016653	-	-	46586 nt	66	-	bacteria	01/17/2012	03/15/2013	
Rhodococcus phage RRH1	NC_016651	-	-	14270 nt	20	-	bacteria	01/17/2012	01/17/2012	
Rhodococcus phage ReqiDocB7	NC_023706	-	-	75772 nt	105	-	bacteria	03/11/2014	03/11/2014	
Rhodococcus phage ReqiPepy6	NC_023735	-	-	76797 nt	107	-	bacteria	03/11/2014	03/11/2014	
Rhodococcus phage ReqiPine5	NC_023722	-	-	59231 nt	84	-	bacteria	03/11/2014	03/11/2014	
Rhodococcus phage ReqiPoco6	NC_023694	-	-	78064 nt	107	-	bacteria	03/11/2014	03/11/2014	
Rhodococcus virus RGL3	NC_016650	-	-	48072 nt	66	-	bacteria	01/17/2012	03/15/2013	
Rhodoferax phage P26218	NC_029061	-	-	36315 nt	44	-	bacteria	02/05/2016	02/05/2016	
Rhodothermus phage RM378	NC_004735	-	-	129908 nt	146	-	bacteria	01/17/2001	04/22/2009	
Rhodovulum phage RS1	NC_020866	strain:RS1	-	40231 nt	56	-	bacteria	03/30/2013	03/30/2013	
Rhodovulum phage vB_RhkS_P1	NC_031059	-	-	38773 nt	59	-	bacteria	09/23/2016	09/23/2016	
Riemerella phage RAP44	NC_019490	-	-	49329 nt	80	-	bacteria	11/16/2012	11/16/2012	
Roseobacter phage RDJL Phi 1	NC_015466	-	-	62668 nt	87	-	bacteria	04/28/2011	04/28/2011	
Roseobacter virus SIO1	NC_002519	-	-	39898 nt	32	4	bacteria	08/30/2000	07/26/2016	
Ruegeria phage DSS3-P1	NC_025428	strain:DSS3-P1	-	59601 nt	82	-	bacteria	11/10/2014	11/10/2014	
Salicola phage CGphi29	NC_020844	strain:CGphi29	-	40695 nt	64	-	bacteria	03/30/2013	03/30/2013	
Salinivibrio phage CW02	NC_019540	-	-	49390 nt	70	-	bacteria	11/21/2012	11/21/2012	
Salisaeta icosahedral phage 1	NC_017983	-	-	43788 nt	57	-	bacteria	05/29/2012	05/29/2012	
Salmonella phage 100268_sal2	NC_031902	-	-	125114 nt	188	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 103203_sal5	NC_031946	-	-	40443 nt	60	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 118970_sal1	NC_031930	-	-	59518 nt	71	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 118970_sal2	NC_031933	-	-	114180 nt	168	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 118970_sal3	NC_031940	-	-	77375 nt	135	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 118970_sal4	NC_030919	-	-	42418 nt	64	5	bacteria	09/19/2016	09/19/2016	
Salmonella phage 19	NC_029072	-	-	94766 nt	194	-	bacteria	02/05/2016	05/31/2016	
Salmonella phage 21	NC_029050	-	-	51896 nt	104	-	bacteria	02/01/2016	05/31/2016	
Salmonella phage 36	NC_029071	-	-	41085 nt	91	-	bacteria	02/05/2016	05/31/2016	
Salmonella phage 37	NC_029045	-	-	60216 nt	105	2	bacteria	01/15/2016	05/31/2016	
Salmonella phage 38	NC_029042	-	-	156833 nt	265	-	bacteria	01/14/2016	05/31/2016	
Salmonella phage 64795_sal3	NC_031918	-	-	45342 nt	74	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage 7-11	NC_015938	-	-	89916 nt	151	-	bacteria	09/02/2011	09/02/2011	
Salmonella phage 9NA	NC_025443	-	-	52869 nt	84	-	bacteria	11/10/2014	11/10/2014	
Salmonella phage BP12A	NC_031258	-	-	39696 nt	47	-	bacteria	09/27/2016	09/27/2016	
Salmonella phage BP12B	NC_031271	-	-	43602 nt	50	-	bacteria	09/27/2016	09/27/2016	
Salmonella phage BP12C	NC_031228	-	-	60606 nt	76	-	bacteria	09/27/2016	09/27/2016	
Salmonella phage BP63	NC_031250	-	-	52437 nt	76	-	bacteria	09/27/2016	09/27/2016	
Salmonella phage BPS11Q3	NC_031925	-	-	43788 nt	65	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage BPS15Q2	NC_031939	-	-	89817 nt	130	-	bacteria	11/15/2016	12/07/2017	
Salmonella phage Det7	NC_027119	-	-	157498 nt	210	-	bacteria	05/28/2015	06/02/2015	
Salmonella phage Ent1	NC_019539	-	-	42391 nt	58	-	bacteria	05/10/2012	08/04/2015	
Salmonella phage FSL SP-004	NC_021774	-	-	29742 nt	40	-	bacteria	07/22/2013	07/22/2013	
Salmonella phage FSL SP-031	NC_021775	-	-	42215 nt	59	-	bacteria	07/22/2013	07/22/2013	
Salmonella phage FSL SP-058	NC_021772	-	-	72394 nt	86	-	bacteria	07/22/2013	09/30/2013	
Salmonella phage FSL SP-076	NC_021782	-	-	72098 nt	82	-	bacteria	07/22/2013	09/30/2013	
Salmonella phage FelixO1	NC_005282	isolate:Felix O1-VT1	-	86155 nt	131	1	bacteria	12/05/2003	02/10/2015	
Salmonella phage GG32	NC_031045	-	-	157855 nt	202	-	bacteria	11/17/2016	11/17/2016	
Salmonella phage IME207	NC_031924	-	-	47564 nt	94	-	bacteria	11/15/2016	11/15/2016	
Salmonella phage Jersey	NC_021777	-	-	43447 nt	69	-	bacteria	07/22/2013	09/13/2013	
Salmonella phage L13	NC_021317	-	-	21248 nt	28	-	bacteria	06/03/2013	12/17/2014	
Salmonella phage LSPA1	NC_026017	-	-	41880 nt	58	-	bacteria	01/07/2015	01/30/2015	
Salmonella phage MA12	NC_031021	-	-	41224 nt	59	-	bacteria	11/17/2016	11/17/2016	
Salmonella phage Marshall	NC_022772	-	-	156338 nt	205	-	bacteria	12/19/2013	07/08/2014	
Salmonella phage Maynard	NC_022768	-	-	154701 nt	200	-	bacteria	04/10/2014	07/08/2014	
Salmonella phage NR01	NC_031042	-	-	111325 nt	148	-	bacteria	09/23/2016	09/23/2016	
Salmonella phage PVP-SE1	NC_016071	isolate:PVP-SE1	-	145964 nt	244	-	bacteria	12/15/2011	12/15/2011	
Salmonella phage RE-2010	NC_019488	-	-	34117 nt	47	-	bacteria	11/16/2012	11/16/2012	
Salmonella phage SE1	NC_011802	-	-	41941 nt	67	-	bacteria	01/06/2009	03/26/2010	
Salmonella phage SE2	NC_016763	-	-	43221 nt	61	-	bacteria	02/10/2012	12/08/2014	
Salmonella phage SEN1	NC_029003	isolate:SEN1	-	29733 nt	43	-	bacteria	01/05/2016	11/18/2016	
Salmonella phage SEN22	NC_028696	-	-	41338 nt	55	-	bacteria	12/17/2015	11/18/2016	
Salmonella phage SEN34	NC_028699	isolate:SEN34	-	40740 nt	63	-	bacteria	12/17/2015	08/24/2017	
Salmonella phage SEN4	NC_029015	isolate:SEN4	-	33509 nt	47	-	bacteria	01/05/2016	11/17/2016	
Salmonella phage SEN5	NC_028701	-	-	33509 nt	47	-	bacteria	12/17/2015	11/17/2016	
Salmonella phage SETP13	NC_022752	-	-	42665 nt	69	-	bacteria	11/06/2013	11/06/2013	
Salmonella phage SETP3	NC_009232	-	-	42572 nt	63	-	bacteria	03/30/2007	12/06/2013	
Salmonella phage SETP7	NC_022754	-	-	42749 nt	67	-	bacteria	11/06/2013	12/17/2014	
Salmonella phage SFP10	NC_016073	-	-	157950 nt	201	-	bacteria	10/13/2011	12/28/2011	
Salmonella phage SJ46	NC_031129	-	-	103445 nt	122	-	bacteria	09/23/2016	09/23/2016	
Salmonella phage SKML-39	NC_019910	strain:SKML-39	-	159624 nt	208	-	bacteria	12/19/2012	12/19/2012	
Salmonella phage SPN1S	NC_016761	-	-	38684 nt	52	2	bacteria	02/02/2012	02/02/2012	
Salmonella phage SPN3UB	NC_019545	-	-	47355 nt	71	-	bacteria	11/21/2012	11/21/2012	
Salmonella phage SPN3US	NC_027402	-	-	240413 nt	264	1	bacteria	06/24/2015	06/24/2015	
Salmonella phage SPN9CC	NC_017985	-	-	40128 nt	62	-	bacteria	05/31/2012	12/23/2013	
Salmonella phage SS3e	NC_006940	-	-	40793 nt	58	-	bacteria	04/07/2005	08/27/2012	
Salmonella phage SSE121	NC_027351	strain:SSE-121	-	147745 nt	242	-	bacteria	06/24/2015	06/24/2015	
Salmonella phage SSU5	NC_018843	-	-	103299 nt	130	-	bacteria	10/15/2012	11/01/2012	
Salmonella phage ST160	NC_014900	-	-	40986 nt	63	-	bacteria	01/13/2011	02/18/2011	
Salmonella phage ST64B	NC_004313	-	-	40149 nt	56	-	bacteria	09/30/2002	02/10/2015	
Salmonella phage STML-198	NC_027344	strain:STML-198	-	158099 nt	255	-	bacteria	06/24/2015	06/24/2015	
Salmonella phage STP4-a	NC_026607	-	-	159914 nt	259	-	bacteria	03/04/2015	07/01/2015	
Salmonella phage Sh19	NC_019530	-	-	157785 nt	166	-	bacteria	11/21/2012	11/21/2012	
Salmonella phage Shivani	NC_028754	-	-	120098 nt	171	-	bacteria	01/05/2016	01/05/2016	
Salmonella phage Vi II-E1	NC_010495	-	-	45051 nt	51	-	bacteria	03/19/2008	10/24/2008	
Salmonella phage Vi06	NC_015271	-	-	38368 nt	47	-	bacteria	07/23/2010	07/26/2016	
Salmonella phage epsilon15	NC_004775	-	-	39671 nt	51	-	bacteria	05/06/2003	11/23/2012	
Salmonella phage epsilon34	NC_011976	-	-	43016 nt	73	-	bacteria	01/26/2009	03/26/2010	
Salmonella phage f18SE	NC_028698	-	-	41868 nt	53	4	bacteria	12/17/2015	12/17/2015	
Salmonella phage g341c	NC_013059	-	-	40975 nt	68	-	bacteria	08/04/2009	02/25/2011	
Salmonella phage phSE-2	NC_031026	-	-	49167 nt	83	1	bacteria	09/23/2016	09/23/2016	
Salmonella phage phiSG-JL2	NC_010807	-	-	38815 nt	55	-	bacteria	06/05/2008	04/17/2009	
Salmonella phage vB_SPuM_SP116	NC_027329	-	-	87510 nt	126	-	bacteria	06/24/2015	08/24/2017	
Salmonella phage vB_SalM_PM10	NC_031128	-	-	158081 nt	209	-	bacteria	09/23/2016	09/23/2016	
Salmonella phage vB_SalM_SJ2	NC_023856	-	-	152460 nt	197	-	bacteria	03/31/2014	03/31/2014	
Salmonella phage vB_SalM_SJ3	NC_024122	-	-	162910 nt	210	-	bacteria	05/23/2014	11/06/2014	
Salmonella phage vB_SemP_Emek	NC_018275	-	-	39783 nt	70	-	bacteria	08/05/2012	08/05/2012	
Salmonella phage vB_SenMS16	NC_020416	-	-	160221 nt	268	-	bacteria	02/28/2013	04/11/2013	
Salmonella phage vB_SenS-Ent2	NC_023608	-	-	42093 nt	56	-	bacteria	02/26/2014	08/04/2015	
Salmonella phage vB_SenS-Ent3	NC_024204	-	-	42764 nt	60	-	bacteria	03/31/2014	08/04/2015	
Salmonella phage vB_SnwM_CGG4-1	NC_031065	-	-	159878 nt	259	-	bacteria	09/23/2016	09/23/2016	
Salmonella phage vB_SosS_Oslo	NC_018279	-	-	49116 nt	79	-	bacteria	08/06/2012	08/06/2012	
Salmonella virus Chi	NC_025442	-	-	59578 nt	75	1	bacteria	11/10/2014	01/30/2015	
Salmonella virus FSLSP030	NC_021779	-	-	59746 nt	71	1	bacteria	07/22/2013	07/22/2013	
Salmonella virus FSLSP088	NC_021780	-	-	59454 nt	70	1	bacteria	07/22/2013	07/22/2013	
Salmonella virus HK620	NC_002730	-	-	38297 nt	58	-	bacteria	04/03/2001	05/06/2009	
Salmonella virus P22	NC_002371	-	-	41724 nt	72	8	bacteria	06/10/2000	06/10/2000	
Salmonella virus PRD1	NC_001421	-	-	14927 nt	31	6	bacteria	04/28/1993	06/05/2017	
Salmonella virus PsP3	NC_005340	-	-	30636 nt	42	-	bacteria	01/21/2004	03/26/2010	
Salmonella virus SP6	NC_004831	-	-	43769 nt	52	1	bacteria	06/13/2003	04/17/2009	
Salmonella virus SPC35	NC_015269	-	-	118351 nt	145	-	bacteria	03/22/2011	03/22/2011	
Salmonella virus SPN19	NC_019417	-	-	59203 nt	72	-	bacteria	11/13/2012	11/13/2012	
Salmonella virus ST64T	NC_004348	-	-	40679 nt	65	-	bacteria	10/22/2002	08/27/2013	
Salmonella virus Stitch	NC_027297	-	-	123475 nt	179	-	bacteria	06/24/2015	06/24/2015	
Salmonella virus iEPS5	NC_021783	-	-	59254 nt	73	-	bacteria	07/23/2013	04/16/2014	
Serratia phage Eta	NC_021563	-	-	42724 nt	69	-	bacteria	06/24/2013	03/06/2014	
Serratia phage PS2	NC_024121	-	-	167266 nt	275	-	bacteria	05/23/2014	05/23/2014	
Serratia phage phiMAM1	NC_020083	-	-	157834 nt	198	-	bacteria	01/09/2013	01/09/2013	
Shewanella phage Spp001	NC_023594	-	-	54791 nt	67	-	bacteria	03/04/2014	09/27/2016	
Shewanella sp. phage 1/4	NC_025436	-	-	133824 nt	235	-	bacteria	11/10/2014	11/10/2014	
Shewanella sp. phage 1/40	NC_025470	-	-	139004 nt	236	-	bacteria	11/14/2014	11/14/2014	
Shewanella sp. phage 1/41	NC_025458	-	-	43510 nt	69	-	bacteria	11/10/2014	11/10/2014	
Shewanella sp. phage 1/44	NC_025463	-	-	49640 nt	75	-	bacteria	11/10/2014	11/10/2014	
Shewanella sp. phage 3/49	NC_025466	-	-	40161 nt	70	-	bacteria	11/10/2014	11/10/2014	
Shigella phage 75/02 Stx	NC_029120	-	-	60875 nt	76	-	bacteria	02/05/2016	02/05/2016	
Shigella phage Ag3	NC_013693	-	-	158006 nt	216	-	bacteria	12/30/2009	07/18/2011	
Shigella phage EP23	NC_016566	-	-	44077 nt	57	-	bacteria	01/06/2012	09/24/2012	
Shigella phage POCJ13	NC_025434	-	-	62699 nt	79	-	bacteria	11/25/2014	11/25/2014	
Shigella phage SHBML-50-1	NC_031085	-	-	166634 nt	265	-	bacteria	09/23/2016	09/23/2016	
Shigella phage SHFML-11	NC_030953	-	-	170650 nt	269	-	bacteria	09/23/2016	09/23/2016	
Shigella phage SHFML-26	NC_031011	-	-	168993 nt	269	-	bacteria	09/23/2016	09/23/2016	
Shigella phage SHSML-45	NC_031022	-	-	108050 nt	139	-	bacteria	09/23/2016	09/23/2016	
Shigella phage SHSML-52-1	NC_031090	-	-	169621 nt	269	-	bacteria	09/23/2016	09/23/2016	
Shigella phage SP18	NC_014595	-	-	170605 nt	284	-	bacteria	10/15/2010	10/15/2010	
Shigella phage SfII	NC_021857	-	-	41475 nt	58	-	bacteria	07/23/2013	09/24/2013	
Shigella phage SfIV	NC_022749	-	-	39758 nt	54	-	bacteria	11/06/2013	11/06/2013	
Shigella phage SfMu	NC_027382	-	-	37146 nt	55	-	bacteria	06/24/2015	06/24/2015	
Shigella phage Shf125875	NC_025437	-	-	169062 nt	267	-	bacteria	11/25/2014	11/25/2014	
Shigella phage Shfl2	NC_015457	isolate:Shfl2	-	165919 nt	265	-	bacteria	04/27/2011	04/27/2011	
Shigella phage Ss-VASD	NC_028685	-	-	62851 nt	74	-	bacteria	12/17/2015	12/17/2015	
Shigella phage pSb-1	NC_023589	-	-	71629 nt	103	-	bacteria	03/04/2014	11/26/2014	
Shigella phage pSf-1	NC_021331	-	-	51821 nt	94	-	bacteria	06/03/2013	12/13/2013	
Shigella phage pSf-2	NC_026010	-	-	50109 nt	83	-	bacteria	01/07/2015	05/17/2016	
Shigella phage pSs-1	NC_025829	-	-	164999 nt	266	-	bacteria	12/09/2014	12/09/2014	
Shigella virus Sf6	NC_005344	-	-	39043 nt	66	-	bacteria	01/21/2004	05/06/2009	
Shigella virus Shfl1	NC_015456	isolate:Shfl1	-	50661 nt	80	-	bacteria	04/27/2011	04/27/2011	
Silicibacter phage DSS3phi2	NC_012697	strain:DSS3P2	-	74611 nt	81	-	bacteria	05/15/2009	03/26/2010	
Sinorhizobium phage PBC5	NC_003324	-	-	57416 nt	83	-	bacteria	12/20/2001	05/06/2009	
Sinorhizobium phage phiLM21	NC_029046	-	-	50827 nt	72	-	bacteria	01/23/2016	01/23/2016	
Sinorhizobium phage phiM12	NC_027204	-	-	194701 nt	377	-	bacteria	06/09/2015	06/09/2015	
Sinorhizobium phage phiM9	NC_028676	-	-	149218 nt	271	-	bacteria	12/17/2015	12/17/2015	
Sinorhizobium phage phiN3	NC_028945	-	-	206713 nt	402	-	bacteria	01/05/2016	01/05/2016	
Sodalis phage SO1	NC_013600	-	-	45169 nt	59	-	bacteria	12/11/2009	09/02/2011	
Sodalis phage phiSG1	NC_007902	-	-	52162 nt	47	1	bacteria	03/16/2006	04/17/2009	
Sphingomonas phage PAU	NC_019521	-	-	219372 nt	295	-	bacteria	12/31/2012	12/31/2012	
Spiroplasma phage 1-C74	NC_003793	strain:SpV1-C74	-	7768 nt	13	-	bacteria	01/01/1996	07/16/2008	
Spiroplasma phage 1-R8A2B	NC_001365	-	-	8273 nt	12	-	bacteria	03/13/1990	02/10/2015	
Spiroplasma phage SVTS2	NC_001270	-	-	6825 nt	13	-	bacteria	12/16/1999	02/10/2015	
Spiroplasma virus SkV1CR23x	NC_009987	-	-	7870 nt	13	-	bacteria	11/20/2007	01/28/2010	
Spiroplasma virus SpV4	NC_003438	-	-	4421 nt	9	-	bacteria	08/03/1993	02/10/2015	
Staphylococcus phage 23MRA	NC_028775	-	-	43098 nt	66	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage 2638A	NC_007051	-	-	41318 nt	57	-	bacteria	05/23/2005	05/21/2007	
Staphylococcus phage 3MRA	NC_028917	-	-	41931 nt	66	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage 66	NC_007046	-	-	18199 nt	27	1	bacteria	05/23/2005	04/17/2009	
Staphylococcus phage 6ec	NC_024355	-	-	93794 nt	142	-	bacteria	06/24/2014	08/22/2014	
Staphylococcus phage 812	NC_029080	-	-	142096 nt	221	4	bacteria	02/05/2016	02/24/2016	
Staphylococcus phage B166	NC_028859	-	-	42881 nt	64	-	bacteria	01/05/2016	01/06/2016	
Staphylococcus phage B236	NC_028915	-	-	43228 nt	67	-	bacteria	01/05/2016	01/06/2016	
Staphylococcus phage BP39	NC_031046	-	-	17641 nt	20	-	bacteria	09/23/2016	09/23/2016	
Staphylococcus phage CNPx	NC_031241	-	-	43293 nt	69	-	bacteria	09/27/2016	09/27/2016	
Staphylococcus phage DW2	NC_024391	-	-	41941 nt	62	-	bacteria	06/24/2014	06/24/2014	
Staphylococcus phage GH15	NC_019448	-	-	139806 nt	214	-	bacteria	11/16/2012	11/16/2012	
Staphylococcus phage GRCS	NC_023550	-	-	17869 nt	21	-	bacteria	03/04/2014	03/11/2014	
Staphylococcus phage IME-SA4	NC_029025	-	-	41843 nt	62	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage JD007	NC_019726	-	-	141836 nt	217	-	bacteria	12/07/2012	12/07/2012	
Staphylococcus phage JS01	NC_021773	-	-	43458 nt	66	-	bacteria	07/22/2013	11/20/2013	
Staphylococcus phage MCE-2014	NC_025416	-	-	141907 nt	204	-	bacteria	11/25/2014	11/25/2014	
Staphylococcus phage P108	NC_025426	-	-	140807 nt	226	-	bacteria	11/10/2014	11/10/2014	
Staphylococcus phage P68	NC_004679	-	-	18227 nt	22	-	bacteria	04/05/2003	04/17/2009	
Staphylococcus phage P954	NC_013195	-	-	40761 nt	69	-	bacteria	09/02/2009	04/30/2012	
Staphylococcus phage PT1028	NC_007045	-	-	15603 nt	22	-	bacteria	05/23/2005	12/19/2007	
Staphylococcus phage PVL	NC_002321	-	-	41401 nt	62	-	bacteria	07/25/1998	07/26/2016	
Staphylococcus phage ROSA	NC_007058	-	-	43155 nt	74	-	bacteria	05/23/2005	05/21/2007	
Staphylococcus phage S24-1	NC_016565	strain:S24-1	-	18168 nt	21	1	bacteria	01/10/2012	01/10/2012	
Staphylococcus phage S25-3	NC_022920	strain:S25-3	-	139738 nt	206	-	bacteria	11/29/2013	07/03/2015	
Staphylococcus phage S25-4	NC_022918	strain:S25-4	-	132123 nt	184	-	bacteria	11/29/2013	07/03/2015	
Staphylococcus phage SA1	NC_027991	-	-	147303 nt	109	-	bacteria	10/07/2015	10/07/2015	
Staphylococcus phage SA12	NC_021801	-	-	42902 nt	58	-	bacteria	07/23/2013	10/28/2013	
Staphylococcus phage SA13	NC_021863	-	-	42652 nt	62	-	bacteria	07/23/2013	09/12/2013	
Staphylococcus phage SA97	NC_029010	-	-	40592 nt	54	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage SAP-2	NC_009875	-	-	17938 nt	20	-	bacteria	09/28/2007	04/17/2009	
Staphylococcus phage SLPW	NC_031008	-	-	17861 nt	20	-	bacteria	09/23/2016	09/23/2016	
Staphylococcus phage SMSAP5	NC_019513	isolate:SMSAP5	-	45552 nt	42	-	bacteria	11/21/2012	01/21/2016	
Staphylococcus phage SPbeta-like	NC_029119	-	-	127726 nt	156	-	bacteria	02/05/2016	02/05/2016	
Staphylococcus phage Sb-1	NC_023009	-	-	127188 nt	168	-	bacteria	12/09/2013	12/09/2013	
Staphylococcus phage SpaA1	NC_018277	-	-	42784 nt	63	-	bacteria	07/23/2012	08/05/2012	
Staphylococcus phage StB12	NC_020490	-	-	44714 nt	74	-	bacteria	03/14/2013	10/04/2017	
Staphylococcus phage StB20	NC_019915	-	-	40917 nt	65	-	bacteria	12/19/2012	12/19/2012	
Staphylococcus phage StB20-like	NC_028821	-	-	40670 nt	59	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage StB27	NC_019914	-	-	40071 nt	53	-	bacteria	12/19/2012	12/19/2012	
Staphylococcus phage Stau2	NC_030933	-	-	133798 nt	177	-	bacteria	09/19/2016	09/19/2016	
Staphylococcus phage StauST398-1	NC_021326	serotype:B	-	45242 nt	69	-	bacteria	06/03/2013	07/09/2014	
Staphylococcus phage StauST398-2	NC_021323	-	-	45572 nt	62	-	bacteria	06/03/2013	07/15/2013	
Staphylococcus phage StauST398-3	NC_021332	serotype:A	-	41392 nt	69	-	bacteria	06/03/2013	07/14/2013	
Staphylococcus phage StauST398-4	NC_023499	-	-	42906 nt	65	-	bacteria	02/27/2014	07/09/2014	
Staphylococcus phage StauST398-5	NC_023500	-	-	43301 nt	65	-	bacteria	02/27/2014	07/09/2014	
Staphylococcus phage TEM123	NC_017968	-	-	43786 nt	43	-	bacteria	05/29/2012	05/29/2012	
Staphylococcus phage Team1	NC_025417	-	-	140903 nt	217	13	bacteria	11/25/2014	11/25/2014	
Staphylococcus phage YMC/09/04/R1988	NC_022758	-	-	44459 nt	62	-	bacteria	11/06/2013	11/05/2014	
Staphylococcus phage phi2958PVL	NC_011344	strain:JCSC2958	-	47342 nt	60	-	bacteria	10/09/2008	03/19/2009	
Staphylococcus phage phi5967PVL	NC_019921	strain:JCSC5967	-	42461 nt	42	1	bacteria	12/19/2012	12/19/2012	
Staphylococcus phage phi7401PVL	NC_020199	strain:JCSC7401	-	47252 nt	44	-	bacteria	02/05/2013	02/05/2013	
Staphylococcus phage phiBU01	NC_026016	-	-	43748 nt	46	-	bacteria	01/07/2015	06/17/2015	
Staphylococcus phage phiIPLA-C1C	NC_028962	-	-	140961 nt	203	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage phiIPLA-RODI	NC_028765	-	-	142348 nt	213	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage phiJB	NC_028669	-	-	43012 nt	70	-	bacteria	12/17/2015	02/05/2016	
Staphylococcus phage phiNM	NC_008583	strain:phiNM1	-	43128 nt	64	-	bacteria	11/28/2006	12/08/2008	
Staphylococcus phage phiNM3	NC_008617	-	-	44061 nt	65	-	bacteria	12/05/2006	03/11/2010	
Staphylococcus phage phiPVL-CN125	NC_012784	-	-	44492 nt	65	-	bacteria	06/08/2009	02/05/2010	
Staphylococcus phage phiRS7	NC_022914	-	-	43394 nt	62	-	bacteria	11/26/2013	11/29/2013	
Staphylococcus phage phiSA12	NC_023573	strain:phiSA012	-	142094 nt	207	-	bacteria	03/02/2014	03/02/2014	
Staphylococcus phage phiSa119	NC_025460	-	-	42600 nt	68	-	bacteria	11/25/2014	11/25/2014	
Staphylococcus phage tp310-1	NC_009761	-	-	42232 nt	59	-	bacteria	08/29/2007	10/05/2017	
Staphylococcus phage tp310-2	NC_009762	-	-	47785 nt	67	-	bacteria	08/29/2007	10/05/2017	
Staphylococcus phage tp310-3	NC_009763	-	-	42973 nt	58	-	bacteria	08/29/2007	10/05/2017	
Staphylococcus phage vB_SauM_Remus	NC_022090	-	-	134643 nt	174	-	bacteria	08/17/2013	08/17/2013	
Staphylococcus phage vB_SauM_Romulus	NC_020877	-	-	131332 nt	164	-	bacteria	04/01/2013	04/14/2013	
Staphylococcus phage vB_SauS_phi2	NC_028862	-	-	44222 nt	61	-	bacteria	01/05/2016	01/05/2016	
Staphylococcus phage vB_SepS_SEP9	NC_023582	-	-	92417 nt	129	-	bacteria	03/04/2014	11/26/2014	
Staphylococcus prophage phiPV83	NC_002486	strain:P83 (=ATCC 31890)	-	45636 nt	65	-	bacteria	07/04/2000	02/10/2015	
Staphylococcus virus 108PVL	NC_008689	strain:MR108	-	44857 nt	59	-	bacteria	12/15/2006	01/21/2016	
Staphylococcus virus 11	NC_004615	-	-	43604 nt	53	-	bacteria	03/18/2003	04/09/2010	
Staphylococcus virus 13	NC_004617	-	-	42722 nt	49	-	bacteria	03/18/2003	12/20/2007	
Staphylococcus virus 187	NC_007047	-	-	39620 nt	77	-	bacteria	05/23/2005	12/24/2009	
Staphylococcus virus 29	NC_007061	-	-	42802 nt	67	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 37	NC_007055	-	-	43681 nt	70	-	bacteria	05/23/2005	10/15/2007	
Staphylococcus virus 3a	NC_007053	-	-	43095 nt	67	-	bacteria	05/23/2005	05/20/2007	
Staphylococcus virus 42e	NC_007052	-	-	45861 nt	79	-	bacteria	05/23/2005	05/21/2007	
Staphylococcus virus 44AHJD	NC_004678	-	-	16784 nt	21	-	bacteria	04/05/2003	04/03/2013	
Staphylococcus virus 47	NC_007054	-	-	44777 nt	65	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 52a	NC_007062	-	-	41690 nt	60	-	bacteria	05/23/2005	02/14/2015	
